month,agent,pw_i,pc_i,vi,ci_hat,T_zi,zr,P,si,r
1,0,0.7,0.55,361.4109761997553,0.0,0.0,0.0,136.06683050951844,0.0,
2,0,0.75,0.6,358.9700801907478,0.0,0.0,0.0,133.93967591809306,4551.197138511303,
3,0,1.0,0.54,357.932525059522,1950.513059361987,0.0,0.0,133.03404255504137,5351.280158395424,
4,0,1.0,0.54,354.9064841356277,5351.280158395424,0.0,0.0,130.60132540144969,5041.346808848915,
5,0,1.0,0.52,352.11764759348273,5918.10277560525,0.0,0.0,126.97730370822292,4706.062874740459,
6,0,1.0,0.5,347.76573268786916,5524.508592086626,0.0,0.0,126.32425173600046,4840.69678760181,
7,0,1.0,0.48,344.06345445428303,5244.088186568628,0.0,0.0,123.61496337808495,4471.648779367041,
8,0,1.0,0.5,342.9547110222772,4471.648779367041,0.0,0.0,122.35126248693574,4965.178597489511,
9,0,1.0,0.48,338.1276919058977,4583.241782298011,0.0,0.0,119.48385283798243,4993.048519015874,
10,0,1.0,0.46,336.3560416631667,4993.048519015874,0.0,0.0,118.56054950311385,4890.02569477378,
11,0,1.0,0.48,334.20285132892934,4513.869872098874,0.0,0.0,117.18335819588916,5224.657214569836,
12,0,1.0,0.44,334.0961398361421,4450.633923522453,0.0,0.0,116.46032344237892,5359.5982168468145,
13,0,1.0,0.4,334.04258821328455,4947.321430935521,0.0,0.0,115.98775277403197,5752.9892272287825,0.03
14,0,0.0,0.44,334.5035667154086,4388.549341159265,0.0,0.0,116.15077967533907,6157.560299473106,0.03
15,0,0.0,0.5,336.4124708429369,4105.040199648737,0.0,0.0,116.56658824146663,6021.367194746419,0.03
16,0,1.0,0.54,336.83478422871565,4731.074224443615,0.0,0.0,117.52293403170022,5456.785475517969,0.03
17,0,0.0,0.6,339.10640569065436,5456.785475517969,0.0,0.0,119.17104144681873,4938.058410132697,0.03
18,0,1.0,0.3,341.410928680242,5796.851177112298,0.0,0.0,119.38890113607714,9845.54562349122,0.03
19,0,1.0,0.4,341.4456322929241,0.0,0.0,0.0,120.49699232477916,10643.002075524226,0.03
20,0,0.0,0.44,342.3528631271938,4561.286603796097,0.0,0.0,121.08869595648348,9992.482268276584,0.03
21,0,1.0,0.3,342.96571041431747,6661.654845517723,0.0,0.0,121.84016184469417,15486.540763665842,0.03
22,0,1.0,0.34,343.40198603992314,0.0,0.0,0.0,122.02576686528911,21634.20366209653,0.03
23,0,0.0,0.4,345.24738709894774,0.0,0.0,0.0,123.55450840123083,18036.90799156163,0.03
24,0,1.0,0.3,346.1857316297581,9291.740480501447,0.0,0.0,125.69403037024743,23495.155965816295,0.03
25,0,1.0,0.4,346.46344777407216,0.0,0.0,0.0,126.47454159079658,21291.144650232764,0.03
26,0,1.0,0.44,348.19302486300023,8859.006095797267,0.0,0.0,128.57890425847802,16040.507377160971,0.03
27,0,1.0,0.5,349.7524650677769,10693.671584773983,0.0,0.0,129.9401767538174,12476.421908976252,0.03
28,0,0.0,0.44,351.16818834883543,9802.90292848134,0.0,0.0,131.55212477654297,8982.906598896887,0.03
29,0,1.0,0.4,354.43438482405605,8982.906598896887,0.0,0.0,133.0690514958096,7766.799141514166,0.03
30,0,1.0,0.34,355.9368038911723,6102.48503976113,0.0,0.0,134.90964580507386,8349.139091751738,0.03
31,0,1.0,0.3,356.092702097888,5566.0927278344925,0.0,0.0,137.11669302748766,9197.166746144734,0.03
32,0,1.0,0.28,356.4197985572416,4737.934384377591,0.0,0.0,138.71109245200572,10857.859120067395,0.03
33,0,1.0,0.3,359.8502550307755,4653.3681943145975,0.0,0.0,139.78053226010712,11698.41533514538,0.03
34,0,0.0,0.28,359.88382152972434,4549.3837414454265,0.0,0.0,141.37939633663711,12365.47044305375,0.03
35,0,1.0,0.3,360.8891763184234,5299.487332737321,0.0,0.0,142.8809679215779,12283.469212000917,0.03
36,0,0.0,0.34,361.00368241425605,4776.904693555913,0.0,0.0,143.13181147188888,18402.96022573596,0.03
37,0,1.0,0.5,361.04184307410344,0.0,0.0,0.0,144.0733471263935,16244.726773059745,0.03521051987878136
38,0,0.0,0.4,362.69858921832235,8368.495610364113,0.0,0.0,145.36601474692117,22806.529928810833,0.03521051987878136
39,0,1.0,0.6,362.920403269507,0.0,0.0,0.0,145.82593038804887,17391.82548618914,0.03521051987878136
40,0,1.0,0.54,363.2105415049067,11594.550324126096,0.0,0.0,145.9135559405643,9274.807047741093,0.03521051987878136
41,0,0.0,0.5,362.9589311994975,13912.210571611637,0.0,0.0,145.88423456836307,7297.122569168552,0.03521051987878136
42,0,1.0,0.44,363.09586827959646,8566.187363806564,0.0,0.0,146.26742158956105,6425.735953778771,0.03521051987878136
43,0,0.0,0.5,363.0922419009423,6425.735953778771,0.0,0.0,146.23088556013056,7068.404054209153,0.03521051987878136
44,0,1.0,0.54,362.4492784286946,5553.746042592906,0.0,0.0,145.78862688675238,6076.518662753948,0.03521051987878136
45,0,0.0,0.5,362.40881459155503,6076.518662753948,0.0,0.0,145.66568058837248,5377.468712976712,0.03521051987878136
46,0,1.0,0.44,362.77827363425047,6312.680663059618,0.0,0.0,145.69643683662684,5337.109394381832,0.03521051987878136
47,0,1.0,0.4,362.5100695070051,5337.109394381832,0.0,0.0,145.3170940653685,6389.207888571003,0.03521051987878136
48,0,1.0,0.44,362.304589091314,5020.091912448646,0.0,0.0,144.9036556365098,7247.727438829436,0.03521051987878136
49,0,1.0,0.5,360.7534994074684,4831.818292552957,0.0,0.0,144.76560414320002,7585.734761750469,0.03521051987878136
50,0,1.0,0.48,360.6373189290659,5757.495751342164,0.0,0.0,144.54365576417626,6287.01361003264,0.03521051987878136
51,0,1.0,0.5,360.94542477031376,6287.01361003264,0.0,0.0,144.74188047020115,11592.115014913306,0.03521051987878136
52,0,1.0,0.54,361.17423021671186,0.0,0.0,0.0,144.7646915551678,8712.066918281977,0.03521051987878136
53,0,1.0,0.5,361.4730720332504,8712.066918281977,0.0,0.0,144.9987863454564,6682.152207113285,0.03521051987878136
54,0,0.0,0.48,361.131366549913,7844.265634437336,0.0,0.0,144.90027377246963,6222.36537706729,0.03521051987878136
55,0,1.0,0.5,360.70160654685395,6222.36537706729,0.0,0.0,144.70975308131085,6101.437972149985,0.03521051987878136
56,0,1.0,0.48,359.0553287483188,5632.096589676909,0.0,0.0,144.69683707681756,5794.182778421327,0.03521051987878136
57,0,1.0,0.5,357.33082287108374,5794.182778421327,0.0,0.0,143.29309801128886,6294.263880520094,0.03521051987878136
58,0,1.0,0.52,356.93654294485225,5810.089735864703,0.0,0.0,142.74998845895004,5539.503083863072,0.03521051987878136
59,0,1.0,0.5,356.3778763374984,5539.503083863072,0.0,0.0,142.498766538896,5432.420808600284,0.03521051987878136
60,0,1.0,0.48,356.250641473571,5885.122542650308,0.0,0.0,142.4579394993473,5689.349869357903,0.03521051987878136
61,0,0.0,0.44,356.17019179186934,5689.349869357903,0.0,0.0,142.3774017386786,5560.546465073407,0.03521051987878136
62,0,1.0,0.4,355.46247879432315,5132.812121606221,0.0,0.0,142.26550894425236,5957.392543537612,0.03521051987878136
63,0,1.0,0.38,355.194735769071,4680.808427065266,0.0,0.0,142.19485246052741,6491.649575081433,0.03521051987878136
64,0,1.0,0.4,355.1154644427607,4327.766383387622,0.0,0.0,142.15203707261256,7951.907693785222,0.03521051987878136
65,0,1.0,0.44,355.4026725849755,4873.749876836104,0.0,0.0,142.48878261185075,7873.50831085955,0.03521051987878136
66,0,1.0,0.4,354.0164380671338,5249.0055405730345,0.0,0.0,141.84573839011298,7546.148331848654,0.03521051987878136
67,0,0.0,0.38,353.7949886347419,5929.116546452514,0.0,0.0,141.77309669476017,7917.7125334703705,0.03521051987878136
68,0,0.0,0.4,353.4907483426238,5278.475022313582,0.0,0.0,141.6599552370671,8008.800183793096,0.03521051987878136
69,0,1.0,0.38,354.1607464305815,4908.619467486092,0.0,0.0,142.04351061178508,7900.540904058799,0.03521051987878136
70,0,0.0,0.4,354.534038744263,5267.027269372534,0.0,0.0,142.35308020797584,8082.028334068262,0.03521051987878136
71,0,1.0,0.44,354.39458007478817,4953.501237009579,0.0,0.0,141.81048630211723,8010.202157316249,0.03521051987878136
72,0,0.0,0.5,354.08034556747714,5340.134771544166,0.0,0.0,141.41778458231508,7639.080291552303,0.03521051987878136
73,0,0.0,0.54,353.9302724770889,6002.134514791095,0.0,0.0,141.1310128163365,6551.258172831187,0.03521051987878136
74,0,0.0,0.5,353.5699308132059,6551.258172831187,0.0,0.0,140.96439630538663,5153.488019614591,0.03521051987878136
75,0,1.0,0.48,353.55498968356335,6049.746805634521,0.0,0.0,140.938464287533,5286.322909748163,0.03521051987878136
76,0,1.0,0.44,353.26295362222675,5286.322909748163,0.0,0.0,140.93711550851575,5265.100709568479,0.03521051987878136
77,0,1.0,0.48,353.230337938636,4860.0929626785955,0.0,0.0,140.84938119462223,6219.96149827573,0.03521051987878136
78,0,0.0,0.5,352.76747585876626,4887.112605788074,0.0,0.0,140.54630335264216,6132.938443185604,0.03521051987878136
79,0,0.0,0.48,351.706770607389,5661.173947555942,0.0,0.0,139.72010532349762,5486.3544848815445,0.03521051987878136
80,0,1.0,0.44,350.6478177805926,5486.3544848815445,0.0,0.0,138.726559590819,5534.609306771949,0.03521051987878136
81,0,1.0,0.5,350.0719885675044,5108.870129327953,0.0,0.0,138.5787141300929,5571.2301357757915,0.03521051987878136
82,0,0.0,0.48,349.8842684331707,4377.395106680979,0.0,0.0,137.94772303715172,5181.054039864831,0.03521051987878136
83,0,0.0,0.44,349.60798195451383,5181.054039864831,0.0,0.0,137.77924920938906,5162.231871645548,0.03521051987878136
84,0,1.0,0.4,348.9753981761405,4765.137112288197,0.0,0.0,136.77854737430835,5195.445804885807,0.03521051987878136
85,0,1.0,0.38,348.0509915371327,4082.1359895531346,0.0,0.0,136.01249053281282,5898.055406492603,0.03521051987878136
86,0,0.0,0.4,347.58563888494547,3932.0369376617355,0.0,0.0,135.3137058610552,6541.671592407693,0.03521051987878136
87,0,1.0,0.44,346.5305923187641,4009.4116211531027,0.0,0.0,134.4977377075073,6807.756509191266,0.03521051987878136
88,0,1.0,0.5,346.4580598652535,4538.504339460844,0.0,0.0,134.21740906906598,6511.298487432447,0.03521051987878136
89,0,1.0,0.48,346.39232901266996,5116.020240125494,0.0,0.0,134.17138200165792,5772.0234080866885,0.03521051987878136
90,0,0.0,0.5,346.6110070459081,5772.0234080866885,0.0,0.0,134.3768331731336,5640.103622505227,0.03521051987878136
91,0,0.0,0.44,346.3939262465724,5206.249497697132,0.0,0.0,134.21235104731568,5445.988305340261,0.03521051987878136
92,0,1.0,0.4,346.2176287712125,5445.988305340261,0.0,0.0,133.98234728172991,5361.004958364618,0.03521051987878136
93,0,1.0,0.44,346.1885866579101,4212.2181815722,0.0,0.0,133.9808354658899,6832.448284010178,0.03521051987878136
94,0,0.0,0.4,346.38249350923746,4554.965522673453,0.0,0.0,134.04486611084909,11000.313019971265,0.03521051987878136
95,0,1.0,0.5,346.0925992680744,0.0,0.0,0.0,133.74356153273538,9794.21680098908,0.03521051987878136
96,0,1.0,0.44,346.0433607869156,6529.4778673260535,0.0,0.0,132.7980596460988,7423.4120879884285,0.03521051987878136
97,0,1.0,0.5,345.59143845178755,7423.4120879884285,0.0,0.0,132.30531288127187,7393.939412532822,0.03521051987878136
98,0,1.0,0.48,345.590188211353,5809.523824132932,0.0,0.0,132.30496676323048,6213.711111301167,0.03521051987878136
99,0,1.0,0.44,346.4777660227757,6213.711111301167,0.0,0.0,132.68286226182954,5600.210794307504,0.03521051987878136
100,0,1.0,0.5,346.764439145186,5169.4253485915415,0.0,0.0,133.42655496396657,6272.751237417271,0.03521051987878136
101,0,1.0,0.54,346.76826372901064,4928.590257970713,0.0,0.0,133.4284705671849,6165.190984803623,0.03521051987878136
102,0,0.0,0.5,347.1332889026482,6165.190984803623,0.0,0.0,133.59544867532574,5268.006465789394,0.03521051987878136
103,0,1.0,0.44,347.0971209310926,6184.181503317984,0.0,0.0,133.58246125031468,5424.34584870413,0.03521051987878136
104,0,0.0,0.5,346.89040631278635,5424.34584870413,0.0,0.0,133.5026569521221,5821.292743400433,0.03521051987878136
105,0,1.0,0.6,347.34765242579505,4573.872869814627,0.0,0.0,133.85182165801461,5534.195659712992,0.03521051987878136
106,0,1.0,0.54,348.32279580796603,5534.195659712992,0.0,0.0,134.13625165336182,4428.724713729362,0.03521051987878136
107,0,1.0,0.5,348.3650018331241,6643.0870705940415,0.0,0.0,134.55684352402682,4804.9572667810935,0.03521051987878136
108,0,1.0,0.48,348.6382227191809,5640.602008829979,0.0,0.0,134.59559336534312,5147.619499854051,0.03521051987878136
