agent_id,n_obs,pw_i_vi_coef,pw_i_vi_pval,pw_i_ci_hat_coef,pw_i_ci_hat_pval,pw_i_T_zi_coef,pw_i_T_zi_pval,pw_i_zr_coef,pw_i_zr_pval,pw_i_P_dev_coef,pw_i_P_dev_pval,pw_i_si_coef,pw_i_si_pval,pw_i_r_dev_coef,pw_i_r_dev_pval,pc_i_vi_coef,pc_i_vi_pval,pc_i_ci_hat_coef,pc_i_ci_hat_pval,pc_i_T_zi_coef,pc_i_T_zi_pval,pc_i_zr_coef,pc_i_zr_pval,pc_i_P_dev_coef,pc_i_P_dev_pval,pc_i_si_coef,pc_i_si_pval,pc_i_r_dev_coef,pc_i_r_dev_pval
0,240,-0.03819415813196587,0.03535856068082334,-0.030126974880146967,0.035998909253990366,-3.394706025153158e-19,0.8344331285040204,-1.514475323100997e-17,0.004993095350548483,0.01051481045838909,0.5421825908150761,-0.012723597889726893,0.3858148165021431,-0.05505347977070946,0.005940850587485222,0.003540735683549333,0.44569397139540523,0.042266327756675784,1.2769569759697167e-24,3.663780371464443e-18,3.2236953697635224e-16,-1.1230691957563037e-18,0.4140073509483142,0.005531260677723452,0.2124868672981144,-0.020857579311647594,7.900463820567443e-08,-0.00173787358968178,0.7332386148290473
1,240,-0.11822215173506184,4.566079100350615e-12,-0.004021012788532074,0.7363268780245856,-2.666223390104709e-17,0.2283644243111628,3.2685706930064972e-18,0.7117252149383517,-0.012185641676293308,0.39342031133822597,0.03229162332227184,0.009710288779527192,-0.10523669367909168,1.1814392378742884e-08,-0.00100232901550088,0.8360623645448303,0.03616682349061298,2.6184303796021928e-20,-1.4990013066406865e-17,0.023875197671714372,5.297083255418002e-18,0.04579015538976106,0.005580777396487956,0.19102487284685923,-0.023809771262773432,6.779820497529937e-10,-0.009920482925920585,0.06319285107604677
2,240,0.030022984320689526,0.08237372951632888,0.010026568682639153,0.4851512302956834,1.7777089525389164e-16,0.05382642260920042,3.15450916093449e-17,0.12567097758975235,0.012832832204530768,0.4213294404219049,0.0794821374251429,1.1901517600601567e-07,0.030910887187408285,0.09025488551820765,0.011977706403000618,0.0037855401078367877,0.023438654765796266,5.812410209725403e-11,-4.4912515907725914e-17,0.04074188059397584,-1.0108897140405832e-17,0.039579436177320966,0.008513919683802806,0.02564773416903374,-0.03096383026335828,1.160688192254243e-16,0.0021623677222208587,0.6174928090759884
3,240,0.06335171948340512,4.038812459154394e-06,0.021137264693879654,0.09625530533416365,-1.2677936053556226e-16,0.004261674080044919,8.443411521865795e-17,0.000665675489752725,0.032000633266263706,0.019255520651902853,0.05672655057525273,2.8366850320066013e-05,0.003929826909495497,0.7800466334762755,0.003914094043374245,0.2701957392822291,0.028090297696954297,4.085618000796991e-15,-4.030441800818795e-17,0.0006048011480149158,2.0162096442337806e-17,0.0020280132626805335,0.009260451438142924,0.010367491557136432,-0.03162414478606223,6.950186928084377e-17,-0.011035231701211436,0.003240404863442153
4,240,0.011191746840812844,0.4722219436856716,0.040066403408764904,0.0015704477280386773,-1.2888534630815463e-17,0.057003264318148235,2.982981769363529e-17,3.7210945346358843e-06,-0.0026873920916778127,0.8647636882466253,0.07769279236266513,5.473046426400061e-09,0.019511301056633616,0.22729232263922802,-0.0027243600716664908,0.5670825392578387,0.04163679576927428,1.5086382680643906e-22,-6.152030717670019e-19,0.7655420251510232,3.2754529741830407e-18,0.09011921611613942,0.0018229474746693656,0.7056196565712916,-0.021464462571377994,1.138942820056825e-07,-0.008478493601470814,0.08672275015283261
5,240,0.00410496386560432,0.8074984940399546,0.015970449437405256,0.2613726634359603,1.1730920170943886e-17,0.0004422665434433952,-2.233932928916552e-18,0.7750940132246411,0.031137590036654353,0.0671268834355134,0.047563189039303,0.0012693295582108849,-0.03236971154075607,0.06058459603286384,-0.00802005110818675,0.08693944247123667,0.03192925814956399,2.6831204545898542e-14,-3.3716598362433312e-18,0.00027382441853659767,2.877350042006922e-18,0.1851665799412388,-0.004466569133719062,0.34223333902047315,-0.031743016584546015,1.4556549293869218e-13,-0.004407101382606795,0.3554036396460807
6,240,0.04186119363334134,0.0036745609185624807,0.0051901103674719985,0.637693859301178,-5.522671136799288e-17,0.39496051835750845,-4.8193658964227524e-17,0.4771682260136917,0.030273091378421678,0.038029355342271504,0.060145044632525096,2.9575205163440996e-07,-0.017184372839812695,0.24811076283086794,-0.00020724251561639057,0.965949954810966,0.045908820020468546,4.760153436990046e-27,-1.0886148026408287e-17,0.6216561601381936,-1.6425407811561194e-17,0.47603749150538777,6.808695300281054e-05,0.9889986193059417,-0.010458554505071157,0.007429646874127887,-0.006348950750756088,0.20951578750740765
7,240,0.05630884076630814,1.304069875411764e-05,0.0029659162233436377,0.7907376128769225,-1.7413478056152003e-19,0.9827947531190513,3.604548893613489e-18,0.002194312206370697,0.05601432733155806,0.00010829915127948379,0.05102918600418958,1.693329471161182e-05,0.00018333057288061685,0.9895203101872858,-0.0034925456468223007,0.410889426465033,0.03545655733303094,3.2115816197424576e-18,6.09240412857815e-18,0.025241656649756184,2.0998187964238933e-18,1.8104519751573405e-07,-0.005633749785105058,0.23876495149192872,-0.027103316290290294,3.4430363734674614e-11,-0.006046151135800537,0.1972830997625848
8,240,0.013523853384620253,0.38372990802833384,0.014083484517410327,0.3365974573004964,-2.7025054934360996e-17,0.0009001306771452837,2.948217152598266e-18,0.593218439088091,0.017629350305298164,0.28784581677180415,0.056380422139659665,0.0001825668135309625,-0.04709147931864509,0.004123234093109856,-0.015165979015187705,0.0002631439127118138,0.025492350460979342,2.729265772562542e-10,4.925848936501809e-18,0.02113829432842993,4.634795722003172e-18,0.001648872985054569,-0.0012824875604224868,0.7694427932531221,-0.0350879979204982,1.0362972728249935e-16,-0.01824097238717297,3.097971747937037e-05
9,240,0.04762961197699074,0.0005426717938698346,0.0024341172611814094,0.8261501307975808,-2.5415292324263064e-17,0.00012166694107153835,-7.885689296946178e-18,0.012011772234860711,0.018898466040449726,0.17950760254441933,0.042822849875444,0.00013242063780610482,0.005630780440568394,0.6922172638784814,0.0016318903274538175,0.6848639438435771,0.0257979772170927,1.2273329072604996e-13,1.1579429035277199e-17,6.636921716378081e-09,-5.622495457319751e-19,0.5422168021611069,0.008410950074566222,0.0438855275227528,-0.02130550641981703,3.854415765178309e-10,-0.005303891318114528,0.2080598344509847
