agent_id,n_obs,pw_i_vi_coef,pw_i_vi_pval,pw_i_ci_hat_coef,pw_i_ci_hat_pval,pw_i_T_zi_coef,pw_i_T_zi_pval,pw_i_zr_coef,pw_i_zr_pval,pw_i_P_coef,pw_i_P_pval,pw_i_si_coef,pw_i_si_pval,pw_i_r_coef,pw_i_r_pval,pc_i_vi_coef,pc_i_vi_pval,pc_i_ci_hat_coef,pc_i_ci_hat_pval,pc_i_T_zi_coef,pc_i_T_zi_pval,pc_i_zr_coef,pc_i_zr_pval,pc_i_P_coef,pc_i_P_pval,pc_i_si_coef,pc_i_si_pval,pc_i_r_coef,pc_i_r_pval
0,240,-0.027970241576549877,0.026075916525505557,0.008427772776364546,0.36228509217800786,-2.990119339833076e-17,0.010978003199073523,2.6418015252009972e-18,0.0131712696647903,0.005752411586195238,0.669012600381524,0.016181209025298827,0.09183377460950826,-0.050084099350947396,0.0003320531304120655,-0.0025623534101700445,0.5791541386323353,0.020366310711719404,8.640854636953134e-09,-8.836757092684676e-19,0.8376441898929422,-9.133640405040338e-19,0.020211943420979234,3.605543256261345e-05,0.9942106865372323,-0.0450153684773704,1.275866764760129e-28,0.0011560323439469434,0.8201212567034295
1,240,-0.09316414422911332,1.1430718180841902e-18,0.008200363221160826,0.22882992126111695,-4.410923687340109e-16,3.8444614196969094e-16,-1.1791687045796519e-17,3.9090210955470563e-13,0.0006807445124105374,0.9438828357837502,0.03242554864518624,5.673830736982381e-06,-0.08466178389451785,7.262101374452128e-14,-0.006877065789057559,0.129189018839591,0.014271912029214639,1.0554681759444318e-05,-6.185355716513058e-17,0.008940518779500013,1.3402517205548927e-18,0.061899282258752075,0.006341934986459502,0.1604886562564059,-0.04944223101759564,1.0061196507193547e-36,-0.01582480143265665,0.0016055255993303276
2,240,0.033112691668234946,0.001979763901874406,0.02100887528778059,0.00607884533365552,4.1746705062117456e-16,3.1933430101155356e-07,-2.501558852954645e-17,7.970496840782844e-09,0.03458972399000184,0.0016567409407090504,0.06396211997284454,3.882695128079748e-14,0.020026795101707868,0.07373810965600495,0.008678132123219705,0.018701664078757365,0.0136745056617395,4.2516656480614017e-07,1.8237796632680164e-17,0.5072822454101811,2.1568391077090745e-18,0.13735315029445677,0.00934021101825041,0.013766598067712537,-0.04785783236565161,3.8863983022467123e-44,-0.0009214188620565644,0.8115613880854003
3,240,0.04822650286641464,7.100445574956067e-10,0.00862389878238081,0.11934930221722789,1.5088539835348559e-16,3.172876892822557e-07,2.7038182360451447e-18,0.13452308508267494,0.03871618392379081,3.87324145048612e-06,0.019508316757461473,0.0014451315903973065,-0.02285412755886367,0.0036637826152633537,0.0017938910586516017,0.5835255715595717,0.009595047057642966,8.762994230640823e-05,4.2209626994922344e-17,0.0008470285320300018,2.8389977406451277e-18,0.0003620308151740264,0.011521773292382041,0.001408979510794825,-0.05581147411517365,2.7466698085814165e-56,-0.011181970047565456,0.001130830815596445
4,240,0.014020733013375959,0.12275447293209274,0.03669585523192038,1.7300328653758342e-07,-2.1386189118602894e-17,0.6211121196279004,-1.2980486112679813e-17,0.3227938984609112,0.005061646195975118,0.6201339324421249,0.04522473054802949,2.882782011588941e-09,0.012736659978252669,0.17889676584660538,-0.008077336469752807,0.10455759625390174,0.012968982534247218,0.0006029807473848595,5.264941555316801e-18,0.824118634559879,4.928724187164252e-18,0.49275459904586927,-0.0008937099760713239,0.8729983671363186,-0.04591391595354151,2.1478553442772605e-24,-0.008495867309989686,0.101887446657916
5,240,-0.0001637460632924934,0.986638387245974,0.017043525376345375,0.020742352342992678,3.675797984040106e-16,4.58531298423775e-09,-8.995052315070388e-17,3.732047999685368e-09,0.012669158203281662,0.2593249209887097,0.042166920542264216,3.3212119392967877e-07,-0.027970221835736,0.007199029038692156,-0.012414941070491192,0.0043762559703375515,0.013892651391840205,2.5409102619518206e-05,-2.2299944714024455e-16,5.450933189310805e-15,5.636203369784885e-17,6.241496911966572e-16,-0.010259629781748273,0.03926083034880435,-0.051371199194465755,2.0794215167096086e-34,-0.0013347170535046166,0.769847506890226
6,240,0.030912482143225704,0.001206137233893247,0.005296340746516127,0.4550413931337187,-9.676110567199542e-18,0.029576410293895388,4.105938842873773e-18,0.29611409012309675,0.045803689742968334,1.6525333681794047e-05,0.016042258222529127,0.03405097255318191,-0.03311983621396111,0.0009348145786927845,-0.005806969777148615,0.2753329806302219,0.017361081070796647,1.982858542826126e-05,-1.0641473268328227e-19,0.9659330627454357,4.4566176163811144e-18,0.0446858044632847,-0.002833269043752195,0.6293822494936849,-0.0353756886774175,6.0454559657472384e-15,-0.00796846443488419,0.1533917975153839
7,240,0.05062931257644805,1.268264470577534e-10,0.01029852443590832,0.07291240260868631,9.829111590820487e-17,4.763291844155947e-10,5.634230585962601e-18,0.0003000007040646973,0.056758486155629256,1.3908308968678617e-09,0.03664814360565332,3.0349500568246786e-08,0.00624636504174755,0.45160204881211485,-0.009017352277510035,0.03655672263025785,0.013572637939059481,4.4200091778493534e-05,1.013092417355758e-17,0.24123692192310492,2.1999247688301013e-18,0.012652971411623857,-0.014617248612761875,0.004779334483963098,-0.048431142430814464,2.224727194006411e-30,-0.0033184885264718293,0.4831579223318381
8,240,0.005593484875693283,0.4929342679798937,0.005987908183274812,0.34034753348554836,-4.185261552760577e-17,0.08362937757411798,6.658171358069161e-18,0.02839383987175675,0.026645962779042884,0.008084575890822218,0.03620076279468084,1.4874421697603596e-06,-0.06635576837813757,6.096144599932489e-13,-0.016422230420848883,8.19012086084106e-06,0.01038510828308558,0.00022370777246981215,9.262746772177911e-17,5.990306196549568e-16,-1.7935827650819073e-17,6.6104388271386e-31,-0.0008499589184568189,0.8472875238397706,-0.055582468977750786,2.7845779690727838e-43,-0.016812512433115656,1.8616657091740336e-05
9,240,0.04836885220574086,2.1044503199092452e-08,0.01466234329482441,0.021496900338197775,-1.10777742353566e-17,0.008034945199636767,8.314039713236188e-18,0.11685936060334137,0.016621837567892588,0.07199024681523483,0.03020056817984527,3.016191736271535e-06,-0.00194269731323236,0.824875438866144,-0.0008279068915359304,0.8311586714234418,0.009309938038616735,0.0017952052627132832,-4.509221035946713e-18,0.020196922321856294,4.674968017722297e-18,0.05841706166509827,0.009223397630432208,0.03216584378512696,-0.03751195054228666,1.051784529960074e-28,-0.005149977731317041,0.2082048594888419
