agent_id,n_obs,pw_i_vi_coef,pw_i_vi_pval,pw_i_ci_hat_coef,pw_i_ci_hat_pval,pw_i_T_zi_coef,pw_i_T_zi_pval,pw_i_zr_coef,pw_i_zr_pval,pw_i_P_coef,pw_i_P_pval,pw_i_si_coef,pw_i_si_pval,pw_i_r_coef,pw_i_r_pval,pc_i_vi_coef,pc_i_vi_pval,pc_i_ci_hat_coef,pc_i_ci_hat_pval,pc_i_T_zi_coef,pc_i_T_zi_pval,pc_i_zr_coef,pc_i_zr_pval,pc_i_P_coef,pc_i_P_pval,pc_i_si_coef,pc_i_si_pval,pc_i_r_coef,pc_i_r_pval
0,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
