month,rate_by_actions,rate_by_states,difference
1,0.13,1.0,-0.87
2,0.16,0.13,0.03
3,0.19,0.16,0.03
4,0.25,0.19,0.06
5,0.17,0.25,-0.07999999999999999
6,0.21,0.17,0.03999999999999998
7,0.29,0.21,0.07999999999999999
8,0.23,0.29,-0.05999999999999997
9,0.35,0.23,0.11999999999999997
10,0.27,0.35,-0.07999999999999996
11,0.26,0.27,-0.010000000000000009
12,0.26,0.26,0.0
13,0.27,0.26,0.010000000000000009
14,0.31,0.27,0.03999999999999998
15,0.16,0.31,-0.15
16,0.19,0.16,0.03
17,0.18,0.19,-0.010000000000000009
18,0.17,0.18,-0.009999999999999981
19,0.07,0.17,-0.1
20,0.07,0.07,0.0
21,0.13,0.07,0.06
22,0.13,0.13,0.0
23,0.11,0.13,-0.020000000000000004
24,0.12,0.11,0.009999999999999995
25,0.13,0.12,0.010000000000000009
26,0.08,0.13,-0.05
27,0.19,0.08,0.11
28,0.19,0.19,0.0
29,0.08,0.19,-0.11
30,0.17,0.08,0.09000000000000001
31,0.11,0.17,-0.06000000000000001
32,0.18,0.11,0.06999999999999999
33,0.15,0.18,-0.03
34,0.19,0.15,0.04000000000000001
35,0.16,0.19,-0.03
36,0.1,0.16,-0.06
37,0.09,0.1,-0.010000000000000009
38,0.12,0.09,0.03
39,0.11,0.12,-0.009999999999999995
40,0.09,0.11,-0.020000000000000004
41,0.22,0.09,0.13
42,0.15,0.22,-0.07
43,0.21,0.15,0.06
44,0.24,0.21,0.03
45,0.23,0.24,-0.009999999999999981
46,0.15,0.23,-0.08000000000000002
47,0.24,0.15,0.09
48,0.15,0.24,-0.09
49,0.28,0.15,0.13000000000000003
50,0.26,0.28,-0.020000000000000018
51,0.21,0.26,-0.05000000000000002
52,0.19,0.21,-0.01999999999999999
53,0.17,0.19,-0.01999999999999999
54,0.23,0.17,0.06
55,0.16,0.23,-0.07
56,0.14,0.16,-0.01999999999999999
57,0.31,0.14,0.16999999999999998
58,0.21,0.31,-0.1
59,0.22,0.21,0.010000000000000009
60,0.27,0.22,0.05000000000000002
61,0.23,0.27,-0.04000000000000001
62,0.32,0.23,0.09
63,0.23,0.32,-0.09
64,0.3,0.23,0.06999999999999998
65,0.16,0.3,-0.13999999999999999
66,0.27,0.16,0.11000000000000001
67,0.26,0.27,-0.010000000000000009
68,0.29,0.26,0.02999999999999997
69,0.27,0.29,-0.019999999999999962
70,0.14,0.27,-0.13
71,0.27,0.14,0.13
72,0.21,0.27,-0.060000000000000026
73,0.27,0.21,0.060000000000000026
74,0.22,0.27,-0.05000000000000002
75,0.28,0.22,0.060000000000000026
76,0.23,0.28,-0.05000000000000002
77,0.23,0.23,0.0
78,0.23,0.23,0.0
79,0.22,0.23,-0.010000000000000009
80,0.29,0.22,0.06999999999999998
81,0.32,0.29,0.030000000000000027
82,0.28,0.32,-0.03999999999999998
83,0.28,0.28,0.0
84,0.3,0.28,0.019999999999999962
85,0.34,0.3,0.040000000000000036
86,0.28,0.34,-0.06
87,0.33,0.28,0.04999999999999999
88,0.29,0.33,-0.040000000000000036
89,0.28,0.29,-0.009999999999999953
90,0.2,0.28,-0.08000000000000002
91,0.32,0.2,0.12
92,0.2,0.32,-0.12
93,0.29,0.2,0.08999999999999997
94,0.22,0.29,-0.06999999999999998
95,0.23,0.22,0.010000000000000009
96,0.21,0.23,-0.020000000000000018
97,0.24,0.21,0.03
98,0.32,0.24,0.08000000000000002
99,0.24,0.32,-0.08000000000000002
100,0.14,0.24,-0.09999999999999998
101,0.2,0.14,0.06
102,0.14,0.2,-0.06
103,0.23,0.14,0.09
104,0.24,0.23,0.009999999999999981
105,0.21,0.24,-0.03
106,0.13,0.21,-0.07999999999999999
107,0.15,0.13,0.01999999999999999
108,0.25,0.15,0.1
109,0.11,0.25,-0.14
110,0.16,0.11,0.05
111,0.24,0.16,0.07999999999999999
112,0.19,0.24,-0.04999999999999999
113,0.17,0.19,-0.01999999999999999
