year,definition1_not_work,definition2_standard,definition3_economic
1,0.2308333333333333,0.2308333333333333,0.2308333333333333
2,0.15916666666666668,0.15916666666666668,0.15916666666666668
3,0.14416666666666667,0.14416666666666667,0.14416666666666667
4,0.16666666666666666,0.16666666666666666,0.16666666666666666
5,0.22083333333333333,0.22083333333333333,0.22083333333333333
6,0.24583333333333335,0.24583333333333335,0.24583333333333335
7,0.2625,0.2625,0.2625
8,0.26583333333333337,0.26583333333333337,0.26583333333333337
9,0.20750000000000002,0.20750000000000002,0.20750000000000002
10,0.15333333333333335,0.15333333333333335,0.15333333333333335
11,0.16249999999999998,0.16249999999999998,0.16249999999999998
12,0.13333333333333333,0.13333333333333333,0.13333333333333333
13,0.15999999999999998,0.15999999999999998,0.15999999999999998
14,0.18916666666666662,0.18916666666666662,0.18916666666666662
15,0.23000000000000007,0.23000000000000007,0.23000000000000007
16,0.23666666666666666,0.23666666666666666,0.23666666666666666
17,0.19499999999999998,0.19499999999999998,0.19499999999999998
18,0.16833333333333333,0.16833333333333333,0.16833333333333333
19,0.17833333333333334,0.17833333333333334,0.17833333333333334
20,0.1725,0.1725,0.1725
